CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
3699,1,7068362,32,BOLIVIA,7,Santa Cruz,0,5,4,Ichilo                                  ,3,Yapacaní                                ,Corte Hondo,Escuela Corte Hondo,1
3555,1,7069392,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,1,San José                                ,Santa Teresita,Esc. Santa Teresita,1
3556,1,7070282,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,2,Pailón,Puesto Paz,Esc. Puesto Paz,1
3557,1,7070292,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,2,Pailón,Poza Verde,Esc. Poza Verde,1
2864,13017,7070902,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,3,Roboré,Aguas Calientes,U.E. Aguas Calientes,1
2864,13017,7070912,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,3,Roboré,Aguas Calientes,U.E. Aguas Calientes,2
2864,13017,7070922,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,3,Roboré,Aguas Calientes,U.E. Aguas Calientes,3
3560,1,7070952,32,BOLIVIA,7,Santa Cruz,0,5,5,Chiquitos                               ,3,Roboré,Agua Negra,U.E. Agua Negra,1
2866,4055,7072352,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Agua Grande,U.E. Kereimba,1
2866,4055,7072362,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Agua Grande,U.E. Kereimba,2
2869,4056,7072372,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Alto Parapeti,U.E. Iviyeca,1
3563,1,7072382,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Tasete,U.E. Tazete,1
3987,1,7072392,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Tenta Piau,U. E. Tenta Piau,1
3988,1,7072402,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Caraparicito,U.E. Carparicito,1
3989,1,7072412,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Pampa Redonda,U.E. Pampa Redonda,1
3990,1,7072422,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Yaity,U.E. Yaity,1
4162,25554,7072432,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Buena Vista,Salón de Reuniones,1
4163,25555,7072442,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Potrerillos Los Pozos,U.E. Rafael Julián,1
4164,25556,7072452,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Irenda,U.E. Irenda,1
4572,32283,7072462,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Kuruyuqui,U.E. José María Carpio,1
4575,32285,7072472,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Mocomocal,U.E. Mocomocal,1
4577,32288,7072482,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,1,Lagunillas,Curupaiti,U.E. Andrés Avalos,1
2358,4019,7072662,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,San Lorenzo (Cordillera),U.E. Manuel Jesus Añez Cespedes,1
2361,4004,7072742,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Saipurú,U.E. Felix Arredondo,1
2363,4023,7072752,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Masavi,U.E. 30 de Septiembre,1
2363,4023,7072762,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Masavi,U.E. 30 de Septiembre,2
2363,4023,7072772,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Masavi,U.E. 30 de Septiembre,3
2364,4024,7072782,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,El Espino,U.E. Manuel Arias Vaca,1
2364,4024,7072792,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,El Espino,U.E. Manuel Arias Vaca,2
2364,4024,7072802,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,El Espino,U.E. Manuel Arias Vaca,3
2365,4025,7072812,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Taputá,U.E. Profesor Elvio Suarez Alba,1
2365,4025,7072822,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Taputá,U.E. Profesor Elvio Suarez Alba,2
2368,4016,7072832,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Parapetí Grande San Antonio(Cap.),U.E. Enrique Quintela Taborga,1
2368,4016,7072842,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Parapetí Grande San Antonio(Cap.),U.E. Enrique Quintela Taborga,2
2368,4016,7072852,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Parapetí Grande San Antonio(Cap.),U.E. Enrique Quintela Taborga,3
2368,4016,7072862,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Parapetí Grande San Antonio(Cap.),U.E. Enrique Quintela Taborga,4
2369,4018,7072872,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,La Brecha,U.E. Manuel Pikasuti,1
2369,4018,7072882,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,La Brecha,U.E. Manuel Pikasuti,2
2369,4018,7072892,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,La Brecha,U.E. Manuel Pikasuti,3
2369,4018,7072902,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,La Brecha,U.E. Manuel Pikasuti,4
2369,4018,7072912,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,La Brecha,U.E. Manuel Pikasuti,5
2370,4028,7072922,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Iyovi Aguarigua,U.E. Enrique Iyambae,1
2370,4028,7072932,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Iyovi Aguarigua,U.E. Enrique Iyambae,2
2370,4028,7072942,32,BOLIVIA,7,Santa Cruz,0,5,7,Cordillera                              ,2,AIOC Charagua Iyambae,Iyovi Aguarigua,U.E. Enrique Iyambae,3
